(274)mk_version***;		1.01;
(275)sett_version*;		0.03;
(276)serial_num_pc;		    1;
(277)complect*****;		    1;
(608)fpga_version*;		1.00;
tconv_start**t=UTC Mon Sep 11 14:10:35 2023
var_name\time***s=;		    0;	   -1;	   -2;	   -3;	   -4;	   -5;	   -6;	   -7;	   -8;	   -9;	  -10;	  -11;	  -12;	  -13;	  -14;	  -15;	  -16;	  -17;	  -18;	  -19;	  -20;	  -21;	  -22;	  -23;	  -24;	  -25;	  -26;	  -27;	  -28;	  -29;	  -30;	  -31;
(626)pl->uxaab*****;		116.9;	116.5;	116.7;	116.7;	116.7;	116.5;	116.7;	116.5;	116.7;	116.7;	116.7;	117.1;	116.9;	116.9;	117.1;	116.9;	116.9;	117.1;	116.7;	116.7;	116.7;	116.7;	116.7;	116.9;	116.7;	116.9;	116.7;	116.7;	116.7;	116.5;	116.5;	116.9;
(627)pl->fixaab****;		29.4;	29.8;	29.8;	29.8;	29.8;	29.8;	29.8;	29.8;	29.7;	29.8;	29.8;	29.8;	29.8;	29.9;	29.8;	29.8;	29.8;	29.7;	29.9;	29.8;	29.9;	29.8;	29.8;	29.8;	29.8;	29.8;	29.8;	29.8;	29.6;	29.7;	29.7;	29.7;
(628)pl->uxabc*****;		122.1;	122.1;	121.9;	122.1;	121.9;	121.9;	121.7;	122.1;	121.9;	121.9;	121.9;	121.7;	121.7;	121.5;	121.7;	121.7;	121.7;	121.7;	121.9;	121.9;	116.7;	121.7;	121.7;	121.7;	121.7;	121.5;	121.3;	121.5;	121.3;	121.3;	121.3;	121.3;
(629)pl->fixabc****;		-92.0;	-90.8;	-90.9;	-90.9;	-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.9;	-90.7;	-90.7;	-90.8;	-90.7;	-90.8;	-90.7;	-90.7;	-90.8;	-90.8;	-90.7;	-90.8;	-90.8;	-90.7;	-90.8;	-90.7;	-90.7;	-90.7;	-90.7;	-90.7;	-90.7;
(630)pl->uxaca*****;		117.9;	117.9;	117.7;	117.9;	117.9;	118.1;	117.9;	118.1;	117.9;	117.9;	117.7;	118.3;	118.1;	117.9;	117.9;	118.1;	117.9;	117.9;	118.1;	118.1;	117.9;	117.9;	117.7;	117.7;	117.9;	117.7;	117.9;	117.9;	117.7;	117.9;	117.7;	117.7;
(631)pl->fixaca****;		-213.3;	-212.6;	-212.5;	-212.6;	-212.5;	-212.4;	-212.4;	-212.5;	-212.5;	-212.6;	-212.5;	-212.5;	-212.1;	-212.3;	-212.1;	-212.2;	-212.3;	-212.2;	-212.3;	-212.3;	-212.3;	-212.3;	-212.4;	-212.4;	-212.2;	-212.3;	-212.1;	-212.2;	-212.1;	-212.2;	-212.3;	-212.2;
(632)pl->uybab*****;		116.7;	116.7;	116.5;	116.7;	116.7;	116.7;	116.5;	116.7;	116.5;	116.7;	116.7;	117.1;	117.1;	116.9;	116.9;	117.1;	116.9;	116.9;	117.1;	116.9;	116.7;	116.7;	116.7;	116.7;	116.9;	116.7;	116.7;	116.7;	116.7;	116.7;	116.7;	116.5;
(633)pl->fiybab****;		-150.5;	-150.2;	-150.2;	-150.3;	-150.2;	-150.2;	-150.3;	-150.3;	-150.3;	-150.4;	-150.3;	-150.3;	-150.2;	-150.3;	-150.3;	-150.3;	-150.3;	-150.3;	-150.2;	-150.2;	-150.2;	-150.3;	-150.3;	-150.3;	-150.2;	-150.3;	-150.2;	-150.4;	-150.5;	-150.4;	-150.4;	-150.3;
(634)pl->uybbc*****;		121.9;	121.9;	121.7;	121.9;	121.7;	121.7;	121.5;	121.9;	121.7;	121.7;	121.7;	121.5;	121.5;	121.3;	121.5;	121.5;	121.5;	121.5;	121.7;	121.7;	121.7;	121.7;	121.5;	121.5;	121.5;	121.3;	121.1;	121.3;	121.1;	121.1;	121.1;	121.1;
(635)pl->fiybbc****;		-271.7;	-271.0;	-270.9;	-271.0;	-270.9;	-270.8;	-270.9;	-270.9;	-270.9;	-270.9;	-270.9;	-271.0;	-270.8;	-271.0;	-270.7;	-270.8;	-270.9;	-270.7;	-270.9;	-270.8;	-270.8;	-270.8;	-270.9;	-270.9;	-270.8;	-270.8;	-270.7;	-270.8;	-270.7;	-270.8;	-270.7;	-270.8;
